;;OKSMList
642;Румыния;Strana_642RouRumyniyaMember
643;Россия;Strana_643RusRossiyaMember
646;Руанда;Strana_646RwaRuandaMember
652;Сен Бартелеми;Strana_652BlmSenBartelemiMember
654;Святая Елена Остров Вознесения;Strana_654ShnSvyatayaElenaOstrovVozneseniyaMember
659;Сент Китс И Невис;Strana_659KnaSentKitsINevisMember
660;Ангиля;Strana_660AiaAngilyaMember
662;Сент Люсия;Strana_662LcaSentLyusiyaMember
663;Сен Мартен;Strana_663MafSenMartenMember
666;Сен Пер И Микелон;Strana_666SpmSenPerIMikelonMember
670;Сент Винсент И Гренадины;Strana_670VctSentVinsentIGrenadinyMember
674;Сан Марино;Strana_674SmrSanMarinoMember
678;Сан Томе И Принсипи;Strana_678StpSanTomeIPrinsipiMember
682;Саудовская Аравия;Strana_682SauSaudovskayaAraviyaMember
686;Сенегал;Strana_686SenSenegalMember
688;Сербия;Strana_688SrbSerbiyaMember
690;Сейшелы;Strana_690SycSejshelyMember
694;Серра Леоне;Strana_694SleSerraLeoneMember
702;Сингапур;Strana_702SgpSingapurMember
703;Словакия;Strana_703SvkSlovakiyaMember
704;Ветнам;Strana_704VnmVetnamMember
705;Словения;Strana_705SvnSloveniyaMember
706;Сомали;Strana_706SomSomaliMember
710;Ы Ужная Африка;Strana_710ZafYUzhnayaAfrikaMember
716;Зимбабве;Strana_716ZweZimbabveMember
724;Испания;Strana_724EspIspaniyaMember
728;Ы Ужный Судан;Strana_728SsdYUzhnyjSudanMember
729;Судан;Strana_729SdnSudanMember
732;Западная Саксара;Strana_732EshZapadnayaSaxaraMember
740;Суринам;Strana_740SurSurinamMember
744;С Хпицзберген И Ы Ан Маэн;Strana_744SjmSHpiczbergenIYAnMajenMember
748;Свазиленд;Strana_748SwzSvazilendMember
752;С Хвецзия;Strana_752SweSHvecziyaMember
756;С Хвейцзария;Strana_756CheSHvejczariyaMember
760;Сирийская Арабская Республика;Strana_760SyrSirijskayaArabskayaRespublikaMember
762;Таджикистан;Strana_762TjkTadzhikistanMember
764;Таиланд;Strana_764ThaTailandMember
768;Того;Strana_768TgoTogoMember
772;Токелау;Strana_772TklTokelauMember
776;Тонга;Strana_776TonTongaMember
780;Тринидад И Тобаго;Strana_780TtoTrinidadITobagoMember
784;Обединенные Арабские Емираты;Strana_784AreObedinennyeArabskieEmiratyMember
788;Тунис;Strana_788TunTunisMember
792;Турцзия;Strana_792TurTurcziyaMember
795;Туркмения;Strana_795TkmTurkmeniyaMember
796;Острова Теркс И Кайкос;Strana_796TcaOstrovaTerksIKajkosMember
798;Тувалу;Strana_798TuvTuvaluMember
800;Уганда;Strana_800UgaUgandaMember
804;Украина;Strana_804UkrUkrainaMember
807;Республика Македония;Strana_807MkdRespublikaMakedoniyaMember
818;Египет;Strana_818EgyEgipetMember
826;Соединенное Королевство;Strana_826GbrSoedinennoeKorolevstvoMember
831;Гернси;Strana_831GgyGernsiMember
832;Джерси;Strana_832JeyDzhersiMember
833;Остров Мен;Strana_833ImnOstrovMenMember
834;Танзания Обединенная Республика;Strana_834TzaTanzaniyaObedinennayaRespublikaMember
840;Соединенные С Хтаты;Strana_840UsaSoedinennyeSHtatyMember
850;Виргинские Острова Сша;Strana_850VirVirginskieOstrovaSshaMember
854;Буркина Фасо;Strana_854BfaBurkinaFasoMember
858;Уругвай;Strana_858UryUrugvajMember
860;Узбекистан;Strana_860UzbUzbekistanMember
862;Венесуела;Strana_862VenVenesuelaMember
876;Уоллис И Футуна;Strana_876WlfUollisIFutunaMember
882;Самоа;Strana_882WsmSamoaMember
